user_id,post_interval_std,likes_per_hour,comments_per_hour,repost_ratio,follower_following_ratio,account_age_days,profile_completeness,unique_word_ratio,avg_sentiment_score,burst_flag,network_overlap_score,night_activity_ratio,hashtag_reuse_rate,avg_response_time_sec,is_bot
1477,24.62,143,69,0.854,0.186,93,0.26,0.12,0.051,1,0.675,0.494,0.674,1.51,1
1478,23.56,130,104,0.995,0.145,51,0.3,0.19,-0.097,1,0.825,0.593,0.606,3.08,1
1479,11.6,154,113,0.848,0.177,179,0.37,0.19,-0.011,1,0.837,0.803,0.791,9.97,1
1480,1063.49,12,16,0.354,1.838,2374,0.59,0.82,-0.954,0,0.39,0.203,0.371,25512.95,0
1481,859.44,9,3,0.075,2.509,3119,0.95,0.62,-0.756,0,0.367,0.064,0.289,51079.99,0
1482,1.94,101,140,0.827,0.153,3,0.35,0.22,-0.026,0,0.745,0.491,0.984,7.44,1
1483,1033.05,19,18,0.116,3.275,3354,0.73,0.52,0.315,0,0.115,0.006,0.223,25037.68,0
1484,1318.73,30,11,0.132,2.885,3491,0.56,0.65,-0.346,0,0.283,0.186,0.127,85795.63,0
1485,1056.14,35,6,0.225,3.383,2497,0.69,0.67,0.829,0,0.173,0.023,0.382,7411.96,0
1486,390.38,11,13,0.316,4.511,3645,0.83,0.51,0.208,0,0.068,0.054,0.012,44304.94,0
1487,227.06,33,17,0.093,1.927,696,0.88,0.87,0.706,0,0.138,0.249,0.095,39877.62,0
1488,25.16,193,53,0.951,0.054,173,0.4,0.23,0.098,1,0.893,0.594,0.773,2.3,1
1489,1596.9,5,18,0.317,4.287,1304,0.99,0.65,-0.442,1,0.291,0.176,0.28,61355.06,0
1490,818.85,9,5,0.144,2.725,3550,0.87,0.59,-0.935,0,0.04,0.082,0.234,13136.37,0
1491,611.79,27,3,0.389,4.498,1043,0.53,0.63,-0.458,0,0.175,0.142,0.246,20001.21,0
1492,1325.32,15,15,0.296,0.774,1209,0.63,0.81,0.106,0,0.115,0.089,0.25,68139.13,0
1493,23.05,115,76,0.71,0.01,137,0.33,0.22,-0.092,1,0.885,0.834,0.974,3.95,1
1494,988.07,18,18,0.172,4.585,3242,0.58,0.99,0.368,0,0.4,0.151,0.029,68293.79,0
1495,1991.06,34,10,0.22,1.898,1708,0.66,0.96,0.653,0,0.365,0.266,0.371,19207.95,0
1496,626.71,27,7,0.086,3.813,421,0.52,0.94,0.888,0,0.323,0.036,0.108,28140.5,0
1497,16.07,136,79,0.82,0.225,94,0.1,0.26,0.064,1,0.672,0.697,0.771,4.01,1
1498,17.49,178,62,0.888,0.152,179,0.33,0.25,-0.04,1,0.917,0.631,0.892,2.33,1
1499,236.22,13,10,0.394,3.352,444,0.92,0.59,0.559,0,0.261,0.13,0.147,7421.17,0
1500,1911.37,36,5,0.312,2.141,844,0.6,0.68,0.532,1,0.352,0.252,0.167,69289.03,0
1501,1696.25,25,19,0.099,2.467,1795,0.84,0.59,0.124,0,0.12,0.234,0.173,14101.57,0
1502,779.48,4,15,0.33,4.376,1205,0.98,0.61,0.059,0,0.348,0.047,0.394,78348.71,0
1503,5.09,99,99,0.934,0.187,43,0.24,0.19,0.037,1,0.856,0.877,0.953,6.26,1
1504,1047.25,23,19,0.371,4.854,2712,0.6,0.88,-0.358,0,0.302,0.198,0.16,6192.56,0
1505,1940.46,13,0,0.071,4.681,1090,0.88,0.83,-0.185,0,0.307,0.079,0.376,11954.86,0
1506,465.64,13,2,0.026,4.754,3242,0.53,0.92,-0.249,0,0.163,0.147,0.007,70466.78,0
1507,28.16,81,113,0.998,0.189,58,0.26,0.19,-0.042,1,0.656,0.546,0.747,5.1,1
1508,1640.58,21,7,0.046,2.869,3221,0.87,0.6,-0.684,0,0.281,0.164,0.035,26681.57,0
1509,1391.95,13,18,0.162,4.91,1338,0.85,0.62,-0.816,1,0.052,0.206,0.17,72335.33,0
1510,1479.32,4,3,0.043,2.713,330,0.9,0.7,0.086,0,0.124,0.15,0.06,32050.42,0
1511,883.78,38,18,0.202,2.512,2210,0.78,0.72,-0.633,0,0.111,0.216,0.165,49293.45,0
1512,1169.27,15,3,0.001,3.254,209,0.97,0.84,0.037,1,0.227,0.038,0.147,38560.81,0
1513,1556.06,12,0,0.292,2.872,1425,0.89,0.88,-0.233,0,0.105,0.256,0.072,77269.51,0
1514,264.58,18,17,0.089,1.047,2919,0.71,0.58,0.783,0,0.141,0.167,0.349,67538.93,0
1515,1836.73,23,15,0.181,1.869,2604,0.96,0.99,-0.59,0,0.141,0.139,0.323,66939.55,0
1516,556.46,38,13,0.379,1.772,458,0.79,0.95,-0.882,0,0.085,0.036,0.003,34824.32,0
1517,27.23,90,135,0.925,0.052,76,0.4,0.13,-0.0,1,0.881,0.68,0.604,3.94,1
1518,13.56,182,58,0.755,0.137,50,0.11,0.12,0.031,0,0.798,0.476,0.668,1.04,1
1519,409.62,12,7,0.108,3.433,1010,0.55,0.62,0.142,1,0.039,0.001,0.275,51631.06,0
1520,396.72,8,16,0.246,1.523,480,0.62,0.69,-0.236,1,0.164,0.067,0.253,36950.23,0
1521,1598.89,20,19,0.146,4.031,3122,0.68,0.83,-0.756,0,0.389,0.013,0.038,10734.8,0
1522,1639.3,38,1,0.044,4.198,3258,0.62,0.77,0.971,0,0.029,0.215,0.201,81187.9,0
1523,1677.64,12,15,0.274,2.622,2275,0.75,0.61,0.625,0,0.338,0.283,0.218,4316.35,0
1524,234.49,17,8,0.341,4.854,1837,0.89,0.55,-0.768,0,0.007,0.201,0.051,67939.26,0
1525,1.83,168,64,0.82,0.064,162,0.15,0.27,-0.04,1,0.801,0.426,0.977,5.75,1
1526,553.03,7,15,0.366,4.275,3617,0.65,0.55,-0.799,0,0.122,0.079,0.089,48591.51,0
1527,16.62,174,103,0.978,0.203,123,0.32,0.1,0.019,1,0.715,0.493,0.861,7.41,1
1528,1968.71,16,16,0.294,4.499,1379,0.96,0.73,-0.731,0,0.241,0.172,0.23,22149.16,0
1529,29.94,168,65,0.995,0.286,104,0.14,0.1,0.026,1,0.833,0.492,0.841,1.51,1
1530,1902.09,10,14,0.118,4.847,1536,0.63,0.91,-0.246,0,0.109,0.258,0.003,80747.79,0
1531,6.09,129,66,0.909,0.261,70,0.35,0.28,-0.01,0,0.917,0.543,0.604,8.24,1
1532,1651.27,32,14,0.391,3.377,1590,0.91,0.84,-0.702,0,0.217,0.072,0.347,21725.29,0
1533,11.07,190,82,0.731,0.025,50,0.29,0.27,0.037,1,0.785,0.855,0.731,5.49,1
1534,14.01,136,102,0.714,0.127,102,0.11,0.13,-0.072,0,0.921,0.62,0.659,1.9,1
1535,273.25,8,7,0.084,2.693,2755,0.9,0.99,0.721,0,0.145,0.145,0.337,73738.64,0
1536,23.32,138,134,0.953,0.135,162,0.18,0.28,-0.029,1,1.0,0.532,0.83,7.27,1
1537,1726.73,24,15,0.023,1.696,1153,0.72,0.71,0.736,0,0.191,0.178,0.026,74702.16,0
1538,14.4,161,72,0.844,0.281,17,0.18,0.28,-0.085,1,0.873,0.653,0.878,2.55,1
1539,14.3,177,61,0.86,0.178,29,0.37,0.16,-0.008,1,0.673,0.789,0.68,8.14,1
1540,862.01,19,13,0.335,1.183,3606,0.8,0.61,-0.696,0,0.089,0.212,0.046,29384.16,0
1541,13.9,181,107,0.807,0.259,151,0.11,0.23,0.037,1,0.873,0.662,0.877,1.4,1
1542,1679.1,1,9,0.083,1.135,2816,0.58,0.94,0.984,0,0.198,0.099,0.157,39054.14,0
1543,795.18,2,4,0.394,4.212,2675,0.72,0.86,-0.778,0,0.384,0.2,0.328,22600.82,0
1544,28.96,139,90,0.789,0.058,89,0.4,0.25,-0.06,0,0.926,0.753,0.892,7.94,1
1545,0.6,181,61,0.993,0.152,25,0.38,0.22,0.04,1,0.934,0.417,0.707,5.23,1
1546,1265.5,10,17,0.072,2.098,838,0.9,0.55,-0.665,0,0.327,0.035,0.389,83737.73,0
1547,20.11,192,52,0.804,0.108,102,0.34,0.22,-0.006,1,0.734,0.88,0.808,4.61,1
1548,207.12,35,14,0.076,2.902,2137,0.89,0.68,-0.995,0,0.164,0.228,0.3,81740.34,0
1549,15.0,189,67,0.765,0.198,128,0.17,0.2,-0.0,1,0.709,0.485,0.887,7.93,1
1550,0.42,167,68,0.865,0.245,52,0.15,0.27,-0.016,1,0.802,0.764,0.792,3.59,1
1551,607.11,1,2,0.159,3.883,550,0.78,0.57,-0.739,1,0.273,0.116,0.135,27417.11,0
1552,1779.24,1,2,0.236,2.158,3530,0.92,0.83,-0.415,0,0.269,0.183,0.119,22785.93,0
1553,12.01,131,73,0.966,0.133,82,0.39,0.17,-0.019,1,0.664,0.414,0.964,8.39,1
1554,661.24,13,16,0.098,2.803,3096,0.97,0.94,-0.83,0,0.384,0.224,0.197,20876.83,0
1555,545.6,26,19,0.237,3.449,1847,0.76,0.84,0.352,0,0.038,0.093,0.201,52938.07,0
1556,1357.9,2,13,0.085,1.898,2834,0.8,0.63,0.779,0,0.064,0.248,0.389,55077.5,0
1557,622.25,39,13,0.205,3.751,2797,0.85,0.93,0.918,0,0.242,0.08,0.348,76927.45,0
1558,830.88,38,9,0.185,3.732,1489,0.91,0.61,0.085,0,0.368,0.166,0.232,27646.06,0
1559,7.85,166,74,0.826,0.236,88,0.27,0.18,0.013,1,0.974,0.427,0.869,9.02,1
1560,1790.71,23,3,0.251,0.814,772,0.56,0.9,-0.308,0,0.106,0.205,0.298,10409.16,0
1561,1979.84,28,15,0.234,0.68,3531,0.68,0.76,-0.526,0,0.168,0.051,0.252,82539.66,0
1562,1598.87,34,13,0.2,4.836,835,0.95,0.66,-0.451,0,0.384,0.229,0.081,65035.3,0
1563,28.69,180,108,0.853,0.102,65,0.15,0.16,0.047,1,0.995,0.713,0.96,1.49,1
1564,1502.56,15,5,0.096,3.354,3493,0.88,0.99,-0.892,0,0.34,0.038,0.234,34071.22,0
1565,5.32,103,54,0.734,0.283,113,0.1,0.14,0.033,1,0.761,0.842,0.958,9.18,1
1566,1607.79,14,16,0.097,2.605,294,0.88,0.54,0.157,0,0.203,0.223,0.198,6192.03,0
1567,1221.67,22,1,0.396,4.938,2293,0.87,0.73,-0.49,0,0.373,0.048,0.186,27279.69,0
1568,6.79,185,130,0.838,0.07,33,0.3,0.26,0.082,1,0.99,0.604,0.732,1.25,1
1569,1198.82,34,18,0.083,4.478,1831,0.63,0.51,0.667,0,0.082,0.163,0.071,72049.28,0
1570,537.16,19,14,0.113,3.435,1676,0.72,0.9,-0.767,0,0.058,0.281,0.126,68737.63,0
1571,21.15,169,71,0.895,0.2,47,0.22,0.2,-0.078,1,0.727,0.418,0.655,7.88,1
1572,19.23,84,58,0.841,0.229,148,0.32,0.16,0.012,1,0.78,0.741,0.786,2.09,1
1573,750.2,30,9,0.206,4.866,2799,0.87,0.99,0.557,1,0.002,0.035,0.224,84489.2,0
1574,16.49,112,63,0.751,0.195,46,0.31,0.28,-0.046,1,0.828,0.841,0.977,7.66,1
1575,25.01,145,85,0.724,0.225,108,0.21,0.11,-0.094,1,0.634,0.703,0.952,8.95,1
1576,279.25,33,15,0.106,0.645,2129,0.55,0.99,-0.767,0,0.147,0.26,0.03,32413.47,0
1577,22.76,178,132,0.886,0.225,71,0.3,0.17,-0.022,0,0.703,0.703,0.773,7.97,1
1578,1087.41,1,14,0.219,1.978,3150,0.61,0.53,0.48,0,0.046,0.066,0.399,69652.52,0
1579,3.18,104,50,0.748,0.294,49,0.3,0.17,0.093,1,0.852,0.546,0.749,7.03,1
1580,14.72,185,138,0.726,0.062,89,0.25,0.29,0.094,1,0.726,0.882,0.876,4.54,1
1581,771.68,35,4,0.299,3.878,3271,0.54,0.74,-0.934,0,0.011,0.018,0.256,79228.04,0
1582,973.82,1,19,0.07,1.348,1808,0.82,0.75,0.535,0,0.079,0.283,0.321,46046.03,0
1583,1815.71,29,18,0.354,3.53,2866,0.8,0.94,0.413,0,0.341,0.201,0.275,82718.47,0
1584,1669.16,37,11,0.018,3.827,1717,0.77,0.86,-0.118,0,0.279,0.296,0.037,36505.97,0
1585,732.94,24,2,0.322,2.555,3279,0.72,0.6,-0.214,0,0.14,0.281,0.225,72835.35,0
1586,760.05,28,5,0.004,1.772,2263,0.76,0.55,-0.1,0,0.113,0.162,0.193,41673.04,0
1587,430.58,28,16,0.328,2.606,3037,0.99,0.59,0.319,0,0.069,0.034,0.061,21370.29,0
1588,1765.11,3,3,0.287,4.611,767,0.75,0.85,-0.585,0,0.168,0.238,0.197,42614.4,0
1589,1562.75,22,13,0.056,3.27,3288,0.85,0.93,0.687,0,0.397,0.009,0.395,21299.39,0
1590,970.06,10,9,0.073,1.407,1837,0.66,0.83,0.865,0,0.224,0.269,0.04,42700.34,0
1591,1184.58,23,0,0.364,4.66,1056,0.84,0.54,0.214,0,0.264,0.219,0.199,388.67,0
1592,20.64,148,97,0.824,0.15,99,0.24,0.27,-0.01,1,0.663,0.613,0.815,1.2,1
1593,24.58,143,127,0.962,0.297,138,0.28,0.25,-0.054,0,0.904,0.572,0.654,3.83,1
1594,1.83,105,85,0.944,0.039,99,0.29,0.22,-0.053,1,0.689,0.473,0.829,9.8,1
1595,28.32,110,148,0.843,0.102,9,0.2,0.16,0.039,1,0.681,0.885,0.771,6.09,1
1596,1795.46,38,12,0.316,1.947,2226,0.71,0.73,0.359,0,0.315,0.126,0.167,64466.65,0
1597,0.47,146,141,0.73,0.132,121,0.12,0.14,-0.036,1,0.838,0.832,0.664,1.14,1
1598,504.61,10,0,0.255,2.541,2592,0.94,0.57,-0.479,0,0.025,0.029,0.159,81555.14,0
1599,496.09,8,1,0.1,2.768,2791,0.57,0.5,0.079,0,0.253,0.151,0.267,84808.27,0
1600,1705.14,27,18,0.033,1.61,961,0.91,0.8,0.775,0,0.395,0.031,0.324,55437.56,0
1601,1517.7,35,2,0.186,2.099,2982,0.87,0.92,-0.493,0,0.244,0.025,0.356,75763.88,0
1602,747.62,14,7,0.2,2.316,2968,0.93,0.66,-0.355,0,0.327,0.239,0.007,82011.98,0
1603,21.94,119,124,0.729,0.045,158,0.39,0.21,0.09,1,0.774,0.65,0.879,4.31,1
1604,1852.01,8,12,0.106,4.859,2507,0.51,0.78,-0.066,0,0.362,0.164,0.381,12851.03,0
1605,1.79,166,118,0.929,0.162,74,0.26,0.17,0.025,0,0.657,0.771,0.698,6.38,1
1606,1939.42,35,6,0.323,4.964,730,0.84,0.59,0.299,0,0.063,0.212,0.027,746.41,0
1607,980.92,11,7,0.268,1.926,3543,0.83,0.59,0.411,0,0.147,0.14,0.038,59124.97,0
1608,28.94,81,60,0.963,0.061,59,0.29,0.18,0.081,1,0.65,0.472,0.956,9.89,1
1609,1469.65,18,5,0.204,1.379,2223,0.54,0.6,0.479,0,0.197,0.098,0.203,29990.26,0
1610,1820.36,13,9,0.388,1.534,2440,0.74,0.61,0.985,0,0.158,0.144,0.051,43686.91,0
1611,1722.18,18,17,0.18,3.973,2799,0.88,0.9,-0.246,0,0.291,0.293,0.343,72705.46,0
1612,13.79,190,144,0.791,0.19,63,0.37,0.15,-0.085,1,0.954,0.582,0.859,3.08,1
1613,8.72,161,65,0.807,0.235,21,0.25,0.21,-0.082,1,0.705,0.493,0.726,1.33,1
1614,2.3,109,89,0.872,0.269,127,0.16,0.19,0.001,1,0.86,0.568,0.747,8.04,1
1615,1082.45,27,11,0.208,3.226,1360,0.97,0.94,0.79,0,0.061,0.192,0.195,8585.79,0
1616,14.06,181,52,0.883,0.187,58,0.21,0.16,0.024,1,0.729,0.502,0.91,8.2,1
1617,779.55,20,6,0.172,2.42,2065,0.52,0.55,0.953,1,0.299,0.077,0.381,18511.1,0
1618,3.69,174,55,0.943,0.086,3,0.28,0.14,0.078,1,0.808,0.762,0.747,1.33,1
1619,1467.31,30,14,0.308,1.745,1773,0.81,0.65,-0.378,0,0.099,0.001,0.011,30947.33,0
1620,598.92,2,9,0.134,3.546,2637,0.51,0.76,0.548,0,0.294,0.159,0.26,60492.14,0
1621,1390.66,2,7,0.278,4.01,3555,0.82,0.67,0.626,1,0.091,0.039,0.126,40390.43,0
1622,531.72,27,13,0.328,4.713,929,0.54,0.92,-0.426,0,0.256,0.066,0.077,36455.85,0
1623,1734.55,16,6,0.369,1.094,440,0.71,0.6,0.504,0,0.044,0.012,0.134,54108.02,0
1624,1.64,172,74,0.805,0.233,126,0.37,0.18,-0.054,1,0.864,0.422,0.886,7.85,1
1625,606.11,21,19,0.033,0.764,675,0.7,0.54,-0.167,0,0.252,0.079,0.383,23474.86,0
1626,273.43,25,7,0.175,2.256,2436,0.62,0.87,0.028,0,0.198,0.0,0.345,1154.65,0
1627,1721.35,17,8,0.168,1.731,1906,0.89,1.0,-0.69,0,0.059,0.285,0.164,84666.03,0
1628,601.23,13,13,0.144,4.83,2392,0.66,0.82,0.541,0,0.233,0.247,0.164,49423.75,0
1629,1993.42,7,6,0.32,4.295,595,0.96,0.81,0.657,0,0.212,0.269,0.203,40794.3,0
1630,7.13,127,79,0.976,0.209,122,0.28,0.13,-0.059,1,0.651,0.533,0.934,3.94,1
1631,1247.33,1,14,0.028,4.471,439,0.61,0.82,-0.798,0,0.234,0.065,0.157,71479.83,0
1632,1949.53,22,3,0.163,4.413,1014,0.68,0.86,0.239,0,0.119,0.119,0.029,81445.54,0
1633,411.19,39,17,0.145,0.515,2697,0.78,0.54,0.406,0,0.229,0.298,0.061,56767.76,0
1634,914.48,24,4,0.214,4.039,1232,0.74,0.59,0.094,0,0.372,0.245,0.124,1640.81,0
1635,454.91,37,3,0.008,1.749,1667,0.76,0.67,0.658,0,0.037,0.104,0.179,68945.32,0
1636,981.25,25,8,0.098,0.915,1541,0.8,0.6,-0.898,0,0.171,0.232,0.328,25189.47,0
1637,7.16,161,75,0.942,0.271,58,0.34,0.17,-0.066,0,0.83,0.889,0.929,4.92,1
1638,1333.77,21,18,0.288,4.274,3127,0.63,0.71,-0.096,0,0.124,0.226,0.005,25404.61,0
1639,28.35,118,116,0.945,0.172,74,0.36,0.17,0.02,0,0.623,0.606,0.832,4.53,1
1640,1276.63,29,6,0.181,4.818,837,0.89,0.83,-0.216,0,0.229,0.109,0.14,59436.82,0
1641,9.64,91,63,0.943,0.183,12,0.38,0.21,0.003,0,0.628,0.404,0.965,4.68,1
1642,348.6,13,6,0.048,1.557,2963,0.56,0.64,0.365,0,0.012,0.033,0.173,37253.95,0
1643,419.65,8,9,0.186,4.905,1229,0.68,0.6,0.482,0,0.322,0.185,0.237,35209.94,0
1644,1629.67,29,8,0.222,2.406,919,0.82,0.68,-0.693,1,0.255,0.282,0.233,5573.99,0
1645,464.54,30,16,0.056,4.275,3051,0.84,0.86,0.319,0,0.077,0.053,0.145,73531.87,0
1646,1803.59,21,2,0.053,0.956,2602,0.67,0.85,-0.176,0,0.379,0.15,0.199,66987.88,0
1647,1514.77,37,4,0.132,1.247,504,0.81,0.58,0.706,0,0.323,0.232,0.119,6496.9,0
1648,747.28,14,4,0.054,4.524,1970,0.52,0.77,-0.305,1,0.157,0.167,0.391,55551.23,0
1649,1680.69,22,8,0.395,1.504,2078,0.75,0.85,-0.845,0,0.333,0.208,0.367,4172.74,0
1650,1740.47,29,3,0.22,3.434,2922,0.84,0.85,0.065,1,0.352,0.287,0.156,75847.8,0
1651,909.58,13,1,0.186,3.167,432,0.65,0.77,0.888,0,0.353,0.007,0.148,80814.42,0
1652,1543.11,35,17,0.225,4.6,599,0.9,0.96,0.031,0,0.382,0.289,0.076,45945.85,0
1653,25.53,175,136,0.762,0.191,117,0.24,0.26,-0.095,1,0.892,0.897,0.872,3.09,1
1654,8.85,187,136,0.832,0.095,84,0.27,0.11,0.021,1,0.808,0.742,0.618,5.14,1
1655,28.89,182,143,0.847,0.059,148,0.15,0.26,0.036,1,0.79,0.861,0.629,3.53,1
1656,600.37,36,15,0.27,3.158,1019,0.57,0.55,0.088,0,0.017,0.1,0.319,13535.41,0
1657,9.32,89,86,0.751,0.112,119,0.34,0.28,0.056,1,0.687,0.47,0.808,8.46,1
1658,18.93,98,116,0.829,0.099,133,0.39,0.16,-0.004,1,0.602,0.606,0.64,5.58,1
1659,467.14,30,11,0.373,2.768,3483,0.65,0.59,0.233,0,0.287,0.266,0.224,13017.5,0
1660,332.78,35,4,0.313,0.502,3566,0.52,0.96,0.727,0,0.238,0.181,0.321,65412.5,0
1661,365.51,31,12,0.224,3.223,548,0.94,0.71,-0.453,0,0.388,0.247,0.246,71769.02,0
1662,24.48,136,79,0.728,0.126,3,0.29,0.18,-0.067,1,0.928,0.541,0.628,1.51,1
1663,1267.04,33,4,0.289,2.491,935,0.67,0.92,0.74,1,0.005,0.262,0.028,45657.52,0
1664,829.92,21,1,0.079,4.489,266,0.91,0.92,-0.765,0,0.226,0.151,0.038,63919.72,0
1665,25.17,133,136,0.976,0.262,55,0.17,0.22,-0.024,1,0.682,0.794,0.841,2.03,1
1666,8.36,131,81,0.905,0.146,124,0.24,0.28,-0.062,1,0.758,0.693,0.968,4.55,1
1667,1120.44,37,14,0.07,0.632,3189,0.68,0.57,0.838,0,0.026,0.121,0.077,5393.16,0
1668,953.51,31,8,0.114,2.891,3231,0.72,0.52,0.781,0,0.042,0.087,0.393,51264.58,0
1669,1505.2,36,5,0.287,0.805,282,0.83,0.57,0.165,0,0.004,0.023,0.008,4226.16,0
1670,201.01,34,11,0.075,4.329,3188,0.5,0.93,-0.961,1,0.133,0.21,0.315,24344.75,0
1671,10.9,116,113,0.995,0.069,119,0.1,0.15,0.084,1,0.92,0.891,0.923,1.09,1
1672,16.54,123,81,0.744,0.098,84,0.25,0.22,-0.099,0,0.683,0.574,0.816,3.64,1
1673,18.48,187,56,0.912,0.292,42,0.27,0.21,-0.01,1,0.62,0.49,0.859,2.23,1
1674,1375.52,10,0,0.13,1.15,1688,0.67,0.9,0.051,0,0.224,0.12,0.392,3282.97,0
1675,1696.75,18,11,0.223,3.302,1212,0.63,0.93,-0.364,0,0.128,0.036,0.243,50794.29,0
1676,1671.86,21,16,0.11,3.213,3174,0.55,0.99,0.265,1,0.136,0.291,0.058,3573.59,0
1677,12.56,171,125,0.729,0.162,165,0.24,0.25,0.067,1,0.658,0.711,0.632,7.25,1
1678,16.99,121,90,0.902,0.279,42,0.12,0.2,-0.041,1,0.984,0.491,0.724,5.59,1
1679,5.6,102,107,0.919,0.29,134,0.29,0.26,0.013,1,0.615,0.709,0.652,4.09,1
1680,1213.65,37,3,0.104,2.839,713,0.64,0.65,-0.094,0,0.169,0.252,0.17,71714.7,0
1681,3.3,155,67,0.934,0.221,44,0.32,0.15,-0.014,1,0.608,0.607,0.707,2.79,1
1682,2.99,154,77,0.86,0.26,2,0.1,0.18,0.07,1,0.614,0.773,0.921,2.45,1
1683,411.63,21,13,0.254,0.783,2267,0.76,0.96,-0.691,0,0.21,0.248,0.085,83690.21,0
1684,1631.63,14,6,0.339,4.421,3403,0.78,0.82,0.812,0,0.366,0.035,0.284,80135.28,0
1685,27.85,192,95,0.99,0.289,116,0.19,0.18,0.07,1,0.668,0.678,0.974,7.26,1
1686,26.63,165,71,0.831,0.113,60,0.3,0.27,-0.039,1,0.63,0.731,0.779,5.02,1
1687,524.26,18,6,0.361,1.049,2405,0.58,0.99,0.537,0,0.053,0.125,0.286,77410.64,0
1688,1850.81,19,17,0.171,2.643,612,0.96,0.83,-0.281,0,0.201,0.01,0.371,19340.53,0
1689,1208.12,22,9,0.076,4.127,1852,0.74,0.89,-0.521,0,0.361,0.273,0.114,7273.89,0
1690,886.62,9,17,0.116,1.186,2390,0.9,0.74,-0.719,0,0.022,0.075,0.057,14639.98,0
1691,6.5,198,68,0.726,0.151,154,0.2,0.29,-0.011,1,0.741,0.855,0.828,7.86,1
1692,1.98,116,113,0.829,0.035,177,0.17,0.17,-0.094,1,0.867,0.867,0.706,6.5,1
1693,942.55,9,16,0.019,1.763,263,0.81,0.73,0.216,0,0.017,0.077,0.068,16244.87,0
1694,251.29,5,1,0.186,1.878,2432,0.72,0.85,-0.681,0,0.361,0.099,0.394,4049.3,0
1695,16.74,156,120,0.729,0.023,169,0.37,0.2,-0.01,1,0.836,0.627,0.781,9.43,1
1696,6.59,131,76,0.993,0.029,125,0.37,0.17,-0.026,1,0.786,0.658,0.733,3.49,1
1697,0.6,178,101,0.912,0.202,79,0.3,0.24,0.086,1,0.888,0.544,0.952,1.44,1
1698,8.19,113,108,0.789,0.256,19,0.31,0.11,0.048,1,0.86,0.766,0.635,7.54,1
1699,5.7,101,139,0.838,0.139,45,0.37,0.19,-0.027,0,0.667,0.86,0.783,7.5,1
1700,767.72,10,1,0.21,4.988,1956,0.59,0.99,-0.555,0,0.19,0.234,0.048,57687.17,0
1701,12.88,166,62,0.937,0.274,89,0.26,0.27,-0.078,1,0.673,0.804,0.845,2.74,1
1702,1922.57,5,4,0.063,2.805,2085,0.8,0.53,-0.693,0,0.158,0.239,0.349,74738.1,0
1703,0.76,142,139,0.795,0.026,101,0.21,0.12,-0.06,1,0.683,0.672,0.693,8.64,1
1704,1727.32,27,15,0.189,3.301,538,0.64,0.54,0.072,0,0.116,0.291,0.327,45384.26,0
1705,10.44,187,122,0.994,0.29,74,0.18,0.16,-0.046,1,0.843,0.644,0.763,2.9,1
1706,1717.85,1,14,0.265,2.193,1813,0.85,0.63,0.986,0,0.23,0.262,0.116,52425.67,0
1707,256.07,17,12,0.183,1.899,1145,0.59,0.51,0.768,0,0.323,0.018,0.356,36249.93,0
1708,1103.6,25,16,0.349,3.693,2993,0.61,0.52,-0.012,0,0.288,0.125,0.031,34867.79,0
1709,9.67,166,76,0.763,0.196,131,0.28,0.17,-0.061,1,0.707,0.856,0.719,6.0,1
1710,1800.25,7,2,0.376,1.054,1029,0.64,0.78,0.994,0,0.229,0.228,0.132,21920.54,0
1711,1745.01,10,14,0.224,2.117,1239,0.59,0.75,0.475,0,0.288,0.268,0.387,39636.83,0
1712,13.07,162,107,0.783,0.051,28,0.18,0.17,0.067,1,0.674,0.586,0.971,1.56,1
1713,18.87,197,116,0.906,0.205,73,0.31,0.15,0.048,1,0.655,0.656,0.623,2.86,1
1714,718.69,20,0,0.061,2.56,672,0.68,0.96,0.595,0,0.044,0.055,0.27,48675.18,0
1715,439.58,15,18,0.009,0.77,527,0.69,0.93,0.469,0,0.275,0.058,0.169,53999.64,0
1716,20.28,176,145,0.883,0.101,100,0.17,0.1,-0.065,0,0.78,0.706,0.685,9.45,1
1717,495.21,1,11,0.062,3.733,780,0.88,0.74,0.886,0,0.27,0.092,0.126,72992.19,0
1718,1948.08,18,10,0.275,1.328,686,0.6,0.58,-0.803,0,0.38,0.037,0.201,59381.46,0
1719,22.18,85,97,0.899,0.154,27,0.23,0.12,0.05,1,0.774,0.529,0.774,7.51,1
1720,21.08,196,112,0.793,0.241,99,0.17,0.14,0.039,1,0.9,0.542,0.768,4.46,1
1721,659.67,13,3,0.147,4.777,1608,0.7,0.98,-0.17,0,0.165,0.093,0.256,69789.55,0
1722,15.47,115,59,0.82,0.283,91,0.39,0.25,-0.097,1,0.64,0.47,0.894,8.78,1
1723,348.23,37,8,0.038,2.943,1527,0.98,0.84,0.434,0,0.071,0.15,0.317,66945.71,0
1724,291.16,24,15,0.299,0.525,1582,0.54,0.55,-0.234,0,0.045,0.265,0.246,68826.64,0
1725,27.29,126,90,0.894,0.172,137,0.18,0.3,0.035,1,0.91,0.67,0.659,4.14,1
1726,1979.77,4,12,0.287,2.896,2434,0.86,0.75,0.187,1,0.158,0.031,0.13,35908.39,0
1727,14.35,147,67,0.906,0.027,72,0.24,0.23,0.092,1,0.824,0.692,0.696,7.63,1
1728,1762.44,23,4,0.087,1.667,837,0.99,0.72,-0.259,0,0.023,0.012,0.134,63046.33,0
